"tipo_entidad","codigo_entidad","nombreentidad","fecha_corte","unicap","descrip_uc","renglon","desc_renglon","_1_saldo_de_la_cartera_a","_2_vigente","_3_vencida_1_2_meses","_4_vencida_2_3_meses","_5_vencida_1_3_meses","_6_vencida_3_4_meses","_7_vencida_de_4_meses","_8_vencida_3_6_meses","_9_vencida_6_meses","_10_vencida_1_4_meses","_11_vencida_4_6_meses","_12_vencida_6_12_meses","_13_vencida_12_18_meses","_14_vencida_12_meses","_15_vencida_18_meses","_16_n_mero_de_clientes_mora","_17_calificaci_n_de_riesgo","_18_calificaci_n_de_riesgo","_19_calificaci_n_de_riesgo","_20_calificaci_n_de_riesgo","_21_calificaci_n_de_riesgo","_22_calificaci_n_de_riesgo","_23_calificaci_n_de_riesgo","_24_calificaci_n_de_riesgo","_25_calificaci_n_de_riesgo","_26_calificaci_n_de_riesgo"
"1","43","Banco Agrario De Colombia O Banagrario.","2015-04-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","4290862170","3625696494","5769139","3026319","0","0","0","37505334","618864884","0","0","0","0","0","0","160","2205","3457011981","13","27801049","13","30995865","48","157541167","107","617512108"
"1","1","Banco De Bogotá S.A.","2015-04-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","763033412776","708404673102","18303446604","9909408006","0","0","0","15562929452","10852955612","0","0","0","0","0","0","5279","70607","689240391288","2704","25692130456","3236","31149725348","995","9054580311","707","7896585373"
"1","23","Banco De Occidente","2015-04-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","108210248529","103691390801","1648661833","979897083","0","0","0","1297596084","592702728","0","0","0","0","0","0","468","9482","99730555893","330","3236141911","226","1897052154","209","2171769344","85","1174729227"
"1","6","Itaú Banco Itaú.","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","461962474789.23","435805663897.51","9336670149.94","4080638988.43","0","0","0","7526387905.06","5213113848.29","0","0","0","0","0","0","2737","42375","424465056245.87","1581","14310937351.93","935","7567722707.95","981","9059495031.34","711","6559263452.14"
"1","9","Citibank","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","856120037208.21","809609198560.77","13098444285.31","7387684783.17","0","0","0","15587624355.23","10437085223.73","0","0","0","0","0","0","6325","126080","796102406701.86","2298","15793292158.94","2292","13316459321.37","1882","12834771248.24","2455","18073107777.8"
"1","62","Mibanco S.A.","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","2099941764.57","1710070390.76","61134246.75","32536570.67","0","0","0","58271726.27","237928830.12","0","0","0","0","0","0","40","14084","1691759801.44","702","71426465.42","424","33093612.97","736","61019458.62","2400","242642426.12"
"1","39","Banco Davivienda","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","1048110246773.31","986596497253.54","26200805913.1","13097233321.27","0","0","0","21613901927.64","601808357.76","0","0","0","0","0","0","7086","215582","944552911157.81","8193","47713816325.28","3770","24287123316.28","3137","25746611732.43","1454","5809784241.51"
"1","1","Banco De Bogotá S.A.","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","769381537357","713384388922","16296285284","11069622883","0","0","0","17039579097","11591661171","0","0","0","0","0","0","5432","71054","694379664222","2547","24084687954","3123","29862168528","1029","9838663191","1058","11216353462"
"1","42","Davibank S.A. O Davibank.","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","628344923669.5","582432284760","17294651219.93","12231342761","0","0","0","15672335455.21","714309473.36","0","0","0","0","0","0","4049","61830","562271697156.85","2899","25638749086.28","2014","18769647688.14","2331","21175579066.74","67","489250671.49"
"1","54","Bancoomeva","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","263300267109","244556788335","7382183647","3487441177","0","0","0","3764052786","4109801164","0","0","0","0","0","0","2572","33231","242443356412","1050","6963681688","965","5533237958","539","3649172354","493","4710818697"
"1","57","Banco Pichincha S.A.","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","135004853616.13","116020089061.58","9318069264.23","6064260865.91","0","0","0","3587210227.94","15224196.47","0","0","0","0","0","0","12120","83644","115492579151.04","6164","9395967140.29","3737","6384055276.01","3161","3713739575.52","18","18512473.27"
"1","49","Av Villas","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","54547394881","52276990499","1035207606","375958922","0","0","0","701090105","158147749","0","0","0","0","0","0","680","9846","51350970483","435","1459862763","174","510804104","343","996425043","82","229332488"
"1","12","Banco Gnb Sudameris","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","34587402629","31966196047","1101363708","510022727","0","0","0","635756617","374063530","0","0","0","0","0","0","320","5673","30753224728","214","1560494710","153","1080579525","109","740688321","90","452415345"
"1","43","Banco Agrario De Colombia O Banagrario.","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","4379995911","3692201947","43303791","2853364","0","0","0","28057925","613578884","0","0","0","0","0","0","163","2364","3529955599","19","49285727","16","46133355","41","139898537","109","614722693"
"1","23","Banco De Occidente","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","107957756987","103352182890","1702213642","879764106","0","0","0","1564327372","459268977","0","0","0","0","0","0","490","9424","99586351944","360","3204885864","189","1843011871","201","1964021428","115","1359485880"
"1","30","Banco Caja Social","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","22093097465","19773402107","140338456","192926532","0","0","0","337617542","1648812828","0","0","0","0","0","0","628","8639","19524282791","105","209447983","82","219697777","82","305386614","559","1834282300"
"1","13","Bbva Colombia","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","327105778184.01","314068495783.67","5093692610.16","2546263952.05","0","0","0","3490210322.94","1907115515.19","0","0","0","0","0","0","1688","31923","305979247459.02","1156","9121949817.69","625","5004217259.61","583","4532587337.37","412","2467776310.32"
"1","7","Bancolombia","2015-05-31T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","642036688969.43","612643719784.33","6546830839.24","4063351536.94","0","0","0","6949135642.97","11833651165.95","0","0","0","0","0","0","4037","69227","588351002089.51","1952","17049172272.11","1280","8800794066.47","2016","12762391670.29","1894","15073328871.05"
"1","30","Banco Caja Social","2015-06-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","21745793251","19381420093","260766325","78904705","0","0","0","376398488","1648303640","0","0","0","0","0","0","636","8492","19109004587","133","296075033","53","131625236","113","383449974","543","1825638421"
"1","13","Bbva Colombia","2015-06-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","343536603661.07","328308616182.71","6699534356.66","2453593802.38","0","0","0","3883987935.96","2190871383.36","0","0","0","0","0","0","1832","32825","318830178181.98","1270","11860295697.61","647","4967543836.7","659","5171387803.52","417","2707198141.26"
